Species
Baccha sp.A1
Baccha sp.B1
Baccha virginio
Baccha vittiger
Baccha zilla
Bactrocera arecae
Bactrocera carambolae
Bactrocera cucurbitae
Bactrocera diversa
Bactrocera diversus
Bactrocera irvingiae
Bactrocera latifrons
Bactrocera melastomatos
Bactrocera modican.comb.
Bactrocera oleae
Bactrocera propinqua
Bactrocera pyrifoliae
Bactrocera rubellan.comb.
Bactrocera scutellaris
Bactrocera tau
Bactrocera zonatus
Bengalia inermis
Bengalia lyneborgi
Berdeniella sp.
Beris chalybeata
Beris chalyeata
Bessa selecta
Betasyrphus adligatus
Betasyrphus hirticeps
Betasyrphus sp.C
Betasyrphus sp.D
Betasyrphus sp.E
Betasyrphus sp.F
Bibio bortulanus
Bibio hortulanus
Blaesoxipha hunteri
Blaesoxipha opifera
Blepharicnema splendens
Blera analis
Blera badia
Blera confusa
Blera fallax
Blera nigra
Blera scitula
Boettcheria cimbicis
Boettcherisca peregrina
Bombylius fulvescens
Bombylius pygmaeus
Boreellus atriceps
Brachyopa scutellaris
Brachypeza radiata
Bradysia hygida
Bufolucilia silvarum
Bunostoma anomala
Bunostoma n. sp. Near anomala
Bunostoma palmae
Bunostoma varifrons
Bunostoma xanthopleura
Cacoxenus indigator
Calliopum aeneum
Calliphora accepta
Calliphora bomitoria
Calliphora croceipalpisI
Calliphora croceipalpisII
Calliphora erythrocephala
Calliphora fallax
Calliphora fulviceps
Calliphora fulvicoxa
Calliphora hilli
Calliphora lilaea
Calliphora peruviana
Calliphora plebeia
Calliphora sternalis
Calliphora stygia
Calliphora tibialis
Calliphora varifrons
Calliphora vicina
Calliphora vicinaI
Calliphora vicinaII
Calliphora viridenscens
Calliphora viridescens
Calliphora vomitoria
Calliphora vomitoriaI
Calliphora vomitoriaII
Calliphora vomitoriaIII
Calliprobola crawfordi
Callitroga hominivorax
Callitroga macellaria
Callitroga mocellaria
Camptochironomus tentans
Camptoneura picta
Camptonoura picta
Carposcalis obscura
Carposcalis sp.
Carposcalis sp.1
Carposcalis sp.2
Carposcalis sp.3
Carposcalis sp.4
Carposcalis sp.5
Carposcalis sp.6
Carposcalis sp.8
Carposcalis sp.A
Carposcalis sp.B
Carposcalis stegna
Caryomyia sp
Cecidocharella borrichia
Cecidomyia serotinae
Cecidomyia sp.
Cecidomyia vicola
Cephenemyia phobifer
Cephenomyia phobifer
Ceracia dentata
Ceratitis capitata
Ceratitis fasciventris
Ceratitis rosa
Ceriana conopsoides
Ceriana vespiformis
Ceriogaster sp.
Cerodontha angulata
Cerodontha eucaricis
Cerodontha ireos
Cerodontha pseuderrans
Cerodontha scirpi
Cerodontha spinata
Cerodontha vignae
Ceromasia auricaudata
Ceroxys latiusculus
Ceroxys urticae
Chaetopsis fulvifrons
Chaetopsis ulvi
Chagasia bathana
Chalcosyrphus anthreas
Chalcosyrphus ariel
Chalcosyrphus nemorum
Chalcosyrphus plesia
Chalcosyrphus sp.2
Chamaepsila rosae
Chamaesphegina argentifacies
Chaoborus americanus
Chaoborus flavicans
Chaoborus plumicornis
Chaoborus punctipennis
Chaoborus trivittatus
Cheilosia barbata
Cheilosia burkei
Cheilosia canicularis
Cheilosia chalybescens
Cheilosia derasa
Cheilosia frontosa
Cheilosia illustrata
Cheilosia impressa
Cheilosia longula
Cheilosia montana
Cheilosia pagana
Cheilosia pallipes
Cheilosia plutonia
Cheilosia scutellata
Cheilosia soror
Cheilosia sp.1
Cheilosia sp.Nr.Frontalis
Cheilosia tristis
Cheilosia variabilis
Cheilosia vernalis
Cheilosia vulpina
Chironimus plumosus
Chironomus acerbiphilus
Chironomus agilis
Chironomus albimaculatus
Chironomus alluaudi
Chironomus alpestris
Chironomus amissum
Chironomus annularius
Chironomus anthracinus
Chironomus balatonicus
Chironomus bathophilus
Chironomus behningi
Chironomus beljaninae
Chironomus bernensis
Chironomus bonus
Chironomus borokensis
Chironomus cingulata
Chironomus commutatus
Chironomus confinis
Chironomus crassicaudatus
Chironomus cucini
Chironomus dorsalis
Chironomus entis
Chironomus esai
Chironomus formosipennis
Chironomus fraternus
Chironomus heterodentatus
Chironomus hyperboreus
Chironomus islandicus
Chironomus jonmartini
Chironomus luridus
Chironomus major
Chironomus muratensis
Chironomus neocorax
Chironomus nudiventris
Chironomus plumosus
Chironomus polonicus
Chironomus propepulcher
Chironomus pulcher
Chironomus reissi
Chironomus riparius
Chironomus riperiua
Chironomus sinicus
Chironomus sp
Chironomus sp.
Chironomus sp.1
Chironomus sp.2
Chironomus sp.Al1
Chironomus sp.J
Chironomus sp.K
Chironomus sp.Kisumu
Chironomus sp.Nakuru
Chironomus sp.pr.Agilis
Chironomus sp.Tu1
Chironomus staegeri
Chironomus suwai
Chironomus tardus
Chironomus thummi
Chironomus trabicola
Chironomus transvaalensis
Chironomus tuvanicusspec.nov.
Chironomus usenicus
