Order,Family,Genus,Species,Name,C-value,Mbp,Method,Metamorphosis
Diptera,Drosophilidae,Drosophila,bicornuta,Drosophila bicornuta,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,diamphidiopoda,Drosophila diamphidiopoda,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,heteroneura,Drosophila heteroneura,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,jambulina,Drosophila jambulina,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,kikkawai,Drosophila kikkawai,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,melanogaster,Drosophila melanogaster,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,mimetica,Drosophila mimetica,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,narragansett,Drosophila narragansett,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,parabipectinata,Drosophila parabipectinata,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,pseudotakahashii,Drosophila pseudotakahashii,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,punjabiensis,Drosophila punjabiensis,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,serrata,Drosophila serrata,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,sucinea,Drosophila sucinea,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Drosophila,willistoni,Drosophila willistoni,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Scaptodrosophila,latifasciaeformis,Scaptodrosophila latifasciaeformis,0.21,205.38,FCM,Complete
Diptera,Drosophilidae,Scaptomyza,stonei,Scaptomyza stonei,0.21,205.38,FCM,Complete
Diptera,Sepsidae,Sepsis,cynipsea,Sepsis cynipsea,0.21,205.38,FCM,Complete
Hymenoptera,Cephidae,Cephus,cinctus,Cephus cinctus,0.21,205.38,FCM,Complete
Hymenoptera,Formicidae,Pheidole,floridana,Pheidole floridana,0.21,205.38,FIA,Complete
Hymenoptera,Scoliidae,Campsomeris,plumipes,Campsomeris plumipes,0.21,205.38,FIA,Complete
Diptera,Drosophilidae,Drosophila,polychaeta,Drosophila polychaeta,0.21,206,,Complete
Diptera,Drosophilidae,Drosophila,micromelanica,Drosophila micromelanica,0.21,206.4,,Complete
Diptera,Drosophilidae,Drosophila,micromelanica,Drosophila micromelanica,0.21,207.1,,Complete
Diptera,Drosophilidae,Drosophila,anceps,Drosophila anceps,0.21,207.5,,Complete
Diptera,Drosophilidae,Drosophila,sechellia,Drosophila sechellia,0.21,208.3,,Complete
Diptera,Drosophilidae,Drosophila,bipectinata,Drosophila bipectinata,0.21,208.9,,Complete
Diptera,Drosophilidae,Zaprionus,sepsoides,Zaprionus sepsoides,0.21,210.2,,Complete
Diptera,Drosophilidae,Drosophila,takahashii,Drosophila takahashii,0.22,210.8,,Complete
Hymenoptera,Formicidae,Platythyrea,sp.,Platythyrea sp.,0.22,211.5,,Complete
Diptera,Drosophilidae,Drosophila,emarginata,Drosophila emarginata,0.22,211.7,,Complete
Diptera,Drosophilidae,Zaprionus,sepsoides,Zaprionus sepsoides,0.22,211.8,,Complete
Diptera,Drosophilidae,Drosophila,miranda,Drosophila miranda,0.22,211.9,,Complete
Diptera,Drosophilidae,Drosophila,palustris,Drosophila palustris,0.22,212.1,,Complete
Diptera,Drosophilidae,Drosophila,subpalustris,Drosophila subpalustris,0.22,212.2,,Complete
Diptera,Drosophilidae,Drosophila,cardini,Drosophila cardini,0.22,212.5,,Complete
Diptera,Drosophilidae,Drosophila,bipectinata,Drosophila bipectinata,0.22,213,,Complete
Diptera,Drosophilidae,Drosophila,rubida,Drosophila rubida,0.22,213.4,,Complete
Diptera,Drosophilidae,Drosophila,subpalustris,Drosophila subpalustris,0.22,214.7,,Complete
Coleoptera,Scarabaeidae,Platytomus,longulus,Platytomus longulus,0.22,215.16,FCM,Complete
Coleoptera,Tenebrionidae,Akis,acuminata,Akis acuminata,0.22,215.16,FD,Complete
Diptera,Chironomidae,Chironomus,tentans,Chironomus tentans,0.22,215.16,BCA,Complete
Diptera,Drosophilidae,Drosophila,affinis,Drosophila affinis,0.22,215.16,NS,Complete
Diptera,Drosophilidae,Drosophila,algonquin,Drosophila algonquin,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,ananassae,Drosophila ananassae,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,bunnanda,Drosophila bunnanda,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,capricorni,Drosophila capricorni,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,emarginata,Drosophila emarginata,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,ercepeae,Drosophila ercepeae,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,lutescens,Drosophila lutescens,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,mojavensis,Drosophila mojavensis,0.22,215.16,BCA,Complete
Diptera,Drosophilidae,Drosophila,neocordata,Drosophila neocordata,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,orosa,Drosophila orosa,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,persimilis,Drosophila persimilis,0.22,215.16,NS,Complete
Diptera,Drosophilidae,Drosophila,seguyi,Drosophila seguyi,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,tsacasi,Drosophila tsacasi,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Scaptodrosophila,lebanonensis,Scaptodrosophila lebanonensis,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Scaptomyza,pattersoni,Scaptomyza pattersoni,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Zaprionus,indianus,Zaprionus indianus,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Zaprionus,sepsoides,Zaprionus sepsoides,0.22,215.16,FCM,Complete
Diptera,Sepsidae,Paratoxopoda,similis,Paratoxopoda similis,0.22,215.16,FCM,Complete
Diptera,Sepsidae,Sepsis,dissimilis,Sepsis dissimilis,0.22,215.16,FCM,Complete
Diptera,Sepsidae,Sepsis,neocynipsea,Sepsis neocynipsea,0.22,215.16,FCM,Complete
Hymenoptera,Formicidae,Cerapachys,edentata,Cerapachys edentata,0.22,215.16,FCM,Complete
Hymenoptera,Formicidae,Forelius,pruinosus,Forelius pruinosus,0.22,215.16,FIA,Complete
Hymenoptera,Vespidae,Eumenes,fraternus,Eumenes fraternus,0.22,215.16,FIA,Complete
Hymenoptera,Vespidae,Vespula,maculifrons,Vespula maculifrons,0.22,215.16,FCM,Complete
Hymenoptera,Vespidae,Vespula,vulgaris,Vespula vulgaris,0.22,215.16,FCM,Complete
Diptera,Drosophilidae,Drosophila,psuedoananassae,Drosophila psuedoananassae,0.22,215.5,,Complete
Diptera,Drosophilidae,Drosophila,cardini,Drosophila cardini,0.22,215.7,,Complete
Diptera,Drosophilidae,Drosophila,malerkotliana,Drosophila malerkotliana,0.22,215.9,,Complete
Diptera,Drosophilidae,Drosophila,albomicans,Drosophila albomicans,0.22,215.9,,Complete
Diptera,Drosophilidae,Drosophila,elegans,Drosophila elegans,0.22,217.9,,Complete
Diptera,Drosophilidae,Drosophila,emarginata,Drosophila emarginata,0.22,218.4,,Complete
Diptera,Drosophilidae,Drosophila,elegans,Drosophila elegans,0.22,218.5,,Complete
Diptera,Drosophilidae,Drosophila,eohydei,Drosophila eohydei,0.22,218.7,,Complete
Diptera,Drosophilidae,Drosophila,rubida,Drosophila rubida,0.22,218.7,,Complete
Diptera,Drosophilidae,Drosophila,palustris,Drosophila palustris,0.22,219.1,,Complete
Diptera,Drosophilidae,Drosophila,funebris,Drosophila funebris,0.22,219.8,,Complete
Diptera,Drosophilidae,Drosophila,albomicans,Drosophila albomicans,0.23,220.6,,Complete
Diptera,Drosophilidae,Drosophila,funebris,Drosophila funebris,0.23,221.1,,Complete
Diptera,Drosophilidae,Zaprionus,tsacasi,Zaprionus tsacasi,0.23,221.1,,Complete
Diptera,Drosophilidae,Drosophila,malerkotliana,Drosophila malerkotliana,0.23,221.8,,Complete
Diptera,Drosophilidae,Zaprionus,tsacasi,Zaprionus tsacasi,0.23,221.8,,Complete
Diptera,Drosophilidae,Drosophila,kikkawai,Drosophila kikkawai,0.23,223,,Complete
Diptera,Drosophilidae,Drosophila,kikkawai,Drosophila kikkawai,0.23,223.5,,Complete
Diptera,Drosophilidae,Drosophila,psuedoananassae,Drosophila psuedoananassae,0.23,223.6,,Complete
Diptera,Drosophilidae,Zaprionus,bogoriensis,Zaprionus bogoriensis,0.23,224.3,,Complete
Diptera,Drosophilidae,Drosophila,kepulauana,Drosophila kepulauana,0.23,224.6,,Complete
Coleoptera,Carabidae,Carabus,auronitens,Carabus auronitens,0.23,224.94,FD,Complete
Coleoptera,Tenebrionidae,Morica,planata,Morica planata,0.23,224.94,FD,Complete
Coleoptera,Tenebrionidae,Pimelia,sparsa,Pimelia sparsa,0.23,224.94,FD,Complete
Coleoptera,Tenebrionidae,Zophosis,bicarinata,Zophosis bicarinata,0.23,224.94,FD,Complete
Collembola,Entomobryidae,Orchesella,cincta,Orchesella cincta,0.23,224.94,FCM,Incomplete
Diptera,Culicidae,Anopheles,labranchiae,Anopheles labranchiae,0.23,224.94,FD,Complete
Diptera,Drosophilidae,Drosophila,algonquin,Drosophila algonquin,0.23,224.94,NS,Complete
Diptera,Drosophilidae,Drosophila,biauraria,Drosophila biauraria,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,diplacantha,Drosophila diplacantha,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,eugracilis,Drosophila eugracilis,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,funebris,Drosophila funebris,0.23,224.94,BCA,Complete
Diptera,Drosophilidae,Drosophila,melanocephala,Drosophila melanocephala,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,miranda,Drosophila miranda,0.23,224.94,NS,Complete
Diptera,Drosophilidae,Drosophila,nigrens,Drosophila nigrens,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,paralutea,Drosophila paralutea,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,prostipennis,Drosophila prostipennis,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,pseudoananassae,Drosophila pseudoananassae,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,tanythrix,Drosophila tanythrix,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Drosophila,vulcana,Drosophila vulcana,0.23,224.94,FCM,Complete
Hymenoptera,Eulophidae,Diglyphus,isaea,Diglyphus isaea,0.23,224.94,FCM,Complete
Hymenoptera,Formicidae,Camponotus,floridanus,Camponotus floridanus,0.23,224.94,FIA,Complete
Hymenoptera,Formicidae,Dolichoderus,taschenbergi,Dolichoderus taschenbergi,0.23,224.94,FCM,Complete
Hymenoptera,Formicidae,Lasius,minutus,Lasius minutus,0.23,224.94,FCM,Complete
Hymenoptera,Vespidae,Symmorphus,canadensis,Symmorphus canadensis,0.23,224.94,FCM,Complete
Hymenoptera,Vespidae,Vespula,germanica,Vespula germanica,0.23,224.94,FCM,Complete
Hymenoptera,Vespidae,Vespula,germanica,Vespula germanica,0.23,224.94,FCM,Complete
Lepidoptera,Lycaenidae,Jalmenus,evagoras,Jalmenus evagoras,0.23,224.94,FCM,Complete
Diptera,Drosophilidae,Zaprionus,bogoriensis,Zaprionus bogoriensis,0.23,226.9,,Complete
Diptera,Drosophilidae,Drosophila,sordidula,Drosophila sordidula,0.23,227.6,,Complete
Diptera,Drosophilidae,Drosophila,sordidula,Drosophila sordidula,0.23,229.3,,Complete
Diptera,Drosophilidae,Drosophila,lutescens,Drosophila lutescens,0.23,229.6,,Complete
Diptera,Drosophilidae,Zaprionus,indianus,Zaprionus indianus,0.24,229.9,,Complete
Diptera,Drosophilidae,Drosophila,eohydei,Drosophila eohydei,0.24,231,,Complete
Diptera,Drosophilidae,Drosophila,lutescens,Drosophila lutescens,0.24,231.9,,Complete
Diptera,Drosophilidae,Drosophila,bunnanda,Drosophila bunnanda,0.24,232.5,,Complete
Diptera,Drosophilidae,Drosophila,phalerata,Drosophila phalerata,0.24,233.3,,Complete
Diptera,Drosophilidae,Drosophila,paralutea,Drosophila paralutea,0.24,234.6,,Complete
Coleoptera,Chrysomelidae,Crepidodera,plutus,Crepidodera plutus,0.24,234.72,FD,Complete
Coleoptera,Coccinellidae,Tytthaspis,sedecimpunctata,Tytthaspis sedecimpunctata,0.24,234.72,FIA,Complete
Coleoptera,Curculionidae,Xyleborus,sp.,Xyleborus sp.,0.24,234.72,FCM,Complete
Coleoptera,Tenebrionidae,Tribolium,freemani,Tribolium freemani,0.24,234.72,FD,Complete
Diptera,Culicidae,Anopheles,atroparvus,Anopheles atroparvus,0.24,234.72,FD,Complete
Diptera,Culicidae,Anopheles,quadrimaculatus,Anopheles quadrimaculatus,0.24,234.72,BCA,Complete
Diptera,Culicidae,Anopheles,stephensi,Anopheles stephensi,0.24,234.72,FD,Complete
Diptera,Drosophilidae,Drosophila,grimshawi,Drosophila grimshawi,0.24,234.72,FCM,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.24,234.72,BCA,Complete
Diptera,Drosophilidae,Drosophila,littoralis,Drosophila littoralis,0.24,234.72,FCM,Complete
Diptera,Drosophilidae,Drosophila,nannoptera,Drosophila nannoptera,0.24,234.72,FCM,Complete
Diptera,Drosophilidae,Drosophila,paulistorum,Drosophila paulistorum,0.24,234.72,FCM,Complete
Diptera,Drosophilidae,Drosophila,willistoni,Drosophila willistoni,0.24,234.72,NS,Complete
Diptera,Psychodidae,Telmatoscopus,meridionalis,Telmatoscopus meridionalis,0.24,234.72,FD,Complete
Diptera,Sepsidae,Dicranosepsis,sp.,Dicranosepsis sp.,0.24,234.72,FCM,Complete
Diptera,Sepsidae,Sepsis,thoracica,Sepsis thoracica,0.24,234.72,FCM,Complete
Hymenoptera,Apidae,Apis,mellifera,Apis mellifera,0.24,234.72,FCM,Complete
Hymenoptera,Formicidae,Pheidole,dentata,Pheidole dentata,0.24,234.72,FIA,Complete
Hymenoptera,Vespidae,Polistes,metricus,Polistes metricus,0.24,234.72,FIA,Complete
Hymenoptera,Vespidae,Vespula,squamosa,Vespula squamosa,0.24,234.72,FCM,Complete
Lepidoptera,Papilionidae,Papilio,cresphontes,Papilio cresphontes,0.24,234.72,FCM,Complete
Diptera,Drosophilidae,Zaprionus,indianus,Zaprionus indianus,0.24,234.8,,Complete
Diptera,Drosophilidae,Drosophila,parabipectinata,Drosophila parabipectinata,0.24,235.1,,Complete
Diptera,Drosophilidae,Drosophila,kepulauana,Drosophila kepulauana,0.24,237.3,,Complete
Diptera,Drosophilidae,Drosophila,eugracilis,Drosophila eugracilis,0.24,237.8,,Complete
Diptera,Drosophilidae,Drosophila,eugracilis,Drosophila eugracilis,0.24,237.8,,Complete
Diptera,Drosophilidae,Drosophila,bunnanda,Drosophila bunnanda,0.24,238.3,,Complete
Diptera,Drosophilidae,Drosophila,paralutea,Drosophila paralutea,0.24,239.2,,Complete
Diptera,Drosophilidae,Drosophila,prostipennis,Drosophila prostipennis,0.25,239.8,,Complete
Diptera,Drosophilidae,Drosophila,phalerata,Drosophila phalerata,0.25,240.3,,Complete
Diptera,Drosophilidae,Drosophila,montana,Drosophila montana,0.25,240.6,,Complete
Diptera,Drosophilidae,Drosophila,parabipectinata,Drosophila parabipectinata,0.25,241,,Complete
Diptera,Drosophilidae,Drosophila,robusta,Drosophila robusta,0.25,241.6,,Complete
Diptera,Drosophilidae,Drosophila,nasuta,Drosophila nasuta,0.25,242.4,,Complete
Diptera,Drosophilidae,Drosophila,montana,Drosophila montana,0.25,242.8,,Complete
Diptera,Drosophilidae,Hirtodrosophila,duncani,Hirtodrosophila duncani,0.25,244.3,,Complete
Coleoptera,Chrysomelidae,Lachnaia,vicina,Lachnaia vicina,0.25,244.5,FD,Complete
Coleoptera,Chrysomelidae,Pachybrachis,anoguttatus,Pachybrachis anoguttatus,0.25,244.5,FD,Complete
Coleoptera,Silvanidae,Oryzaephilus,surinamensis,Oryzaephilus surinamensis,0.25,244.5,FCM,Complete
Coleoptera,Tenebrionidae,Melanochrus,lacordairei,Melanochrus lacordairei,0.25,244.5,FD,Complete
Coleoptera,Tenebrionidae,Phylan,semicostatus,Phylan semicostatus,0.25,244.5,FD,Complete
Coleoptera,Tenebrionidae,Pimelia,sparsa,Pimelia sparsa,0.25,244.5,FD,Complete
Coleoptera,Tenebrionidae,Scaurus,striatus,Scaurus striatus,0.25,244.5,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,confusum,Tribolium confusum,0.25,244.5,FD,Complete
Coleoptera,Tenebrionidae,Uytteenboogaartia,punctipennis,Uytteenboogaartia punctipennis,0.25,244.5,FD,Complete
Diptera,Chironomidae,Chironomus,tentans,Chironomus tentans,0.25,244.5,BCA,Complete
Diptera,Culicidae,Anopheles,quadrimaculatus,Anopheles quadrimaculatus,0.25,244.5,FD,Complete
Diptera,Drosophilidae,Drosophila,auraria,Drosophila auraria,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,engyochracea,Drosophila engyochracea,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,eohydei,Drosophila eohydei,0.25,244.5,FD,Complete
Diptera,Drosophilidae,Drosophila,equinoxialis,Drosophila equinoxialis,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,grimshawi,Drosophila grimshawi,0.25,244.5,FD,Complete
Diptera,Drosophilidae,Drosophila,grimshawi,Drosophila grimshawi,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.25,244.5,FD,Complete
Diptera,Drosophilidae,Drosophila,hydei,Drosophila hydei,0.25,244.5,FD,Complete
Diptera,Drosophilidae,Drosophila,lacteicornis,Drosophila lacteicornis,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,novamexicana,Drosophila novamexicana,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,triauraria,Drosophila triauraria,0.25,244.5,FCM,Complete
Diptera,Drosophilidae,Drosophila,yooni,Drosophila yooni,0.25,244.5,FCM,Complete
Diptera,Sepsidae,Sepsis,orthocnemis,Sepsis orthocnemis,0.25,244.5,FCM,Complete
Hymenoptera,Formicidae,Dormyrmex,bicolor,Dormyrmex bicolor,0.25,244.5,FCM,Complete
Hymenoptera,Formicidae,Pogonomyrmex,californicus,Pogonomyrmex californicus,0.25,244.5,FCM,Complete
Hymenoptera,Formicidae,Trachymyrmex,septentrionalis,Trachymyrmex septentrionalis,0.25,244.5,FIA,Complete
Hymenoptera,Trichogrammatidae,Trichogramma,brassicae,Trichogramma brassicae,0.25,244.5,FCM,Complete
Hymenoptera,Ichneumonidae,Hyposoter,didymator,Hyposoter didymator,0.25,245.2,,Complete
Diptera,Drosophilidae,Drosophila,prostipennis,Drosophila prostipennis,0.25,245.5,,Complete
Diptera,Drosophilidae,Drosophila,nasuta,Drosophila nasuta,0.25,245.7,,Complete
Diptera,Drosophilidae,Drosophila,nannoptera,Drosophila nannoptera,0.25,245.9,,Complete
Hymenoptera,Braconidae,Microplitis,demolitor,Microplitis demolitor,0.25,248.9,,Complete
Diptera,Drosophilidae,Drosophila,novamexicana,Drosophila novamexicana,0.25,249.3,,Complete
Diptera,Drosophilidae,Drosophila,robusta,Drosophila robusta,0.26,249.6,,Complete
Diptera,Drosophilidae,Drosophila,nannoptera,Drosophila nannoptera,0.26,250.1,,Complete
Diptera,Drosophilidae,Hirtodrosophila,duncani,Hirtodrosophila duncani,0.26,251.6,,Complete
Diptera,Drosophilidae,Scaptodrosophila,pattersoni,Scaptodrosophila pattersoni,0.26,251.9,,Complete
Diptera,Drosophilidae,Drosophila,novamexicana,Drosophila novamexicana,0.26,252.7,,Complete
Diptera,Drosophilidae,Drosophila,littoralis,Drosophila littoralis,0.26,253.1,,Complete
Diptera,Drosophilidae,Scaptodrosophila,lebanonensis,Scaptodrosophila lebanonensis,0.26,253.3,,Complete
Coleoptera,Tenebrionidae,Hegeter,amaroides,Hegeter amaroides,0.26,254.28,FD,Complete
Coleoptera,Tenebrionidae,Melanochrus,blairi,Melanochrus blairi,0.26,254.28,FD,Complete
Coleoptera,Tenebrionidae,Tentyria,schaumi,Tentyria schaumi,0.26,254.28,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,anaphe,Tribolium anaphe,0.26,254.28,FD,Complete
Coleoptera,Tenebrionidae,Tribolium,madens,Tribolium madens,0.26,254.28,FD,Complete
Diptera,Drosophilidae,Drosophila,hawaiiensis,Drosophila hawaiiensis,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,mayri,Drosophila mayri,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,mimica,Drosophila mimica,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,mimica,Drosophila mimica,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,quadraria,Drosophila quadraria,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,rufa,Drosophila rufa,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Scaptodrosophila,lebanonensis,Scaptodrosophila lebanonensis,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Zaprionus,badyi,Zaprionus badyi,0.26,254.28,FCM,Complete
Diptera,Sciaridae,Sciara,ocellaris,Sciara ocellaris,0.26,254.28,FD,Complete
Diptera,Sepsidae,Sepsis,fulgens,Sepsis fulgens,0.26,254.28,FCM,Complete
Diptera,Sepsidae,Sepsis,secunda,Sepsis secunda,0.26,254.28,FCM,Complete
Hemiptera,Reduviidae,Rhodnius,prolixus,Rhodnius prolixus,0.26,254.28,NS,Incomplete
Hymenoptera,Apidae,Melipona,bicolor,Melipona bicolor,0.26,254.28,FCM,Complete
Hymenoptera,Apidae,Melipona,quadrifasciata,Melipona quadrifasciata,0.26,254.28,FCM,Complete
Hymenoptera,Apidae,Paratrigona,subnuda,Paratrigona subnuda,0.26,254.28,FCM,Complete
Hymenoptera,Formicidae,Linepithema,humile,Linepithema humile,0.26,254.28,FCM,Complete
Hymenoptera,Formicidae,Messor,andrei,Messor andrei,0.26,254.28,FCM,Complete
Hymenoptera,Formicidae,Myrmecina,americana,Myrmecina americana,0.26,254.28,FCM,Complete
Hymenoptera,Formicidae,Tetramorium,caespitum,Tetramorium caespitum,0.26,254.28,FCM,Complete
Lepidoptera,Papilionidae,Papilio,polyxenes,Papilio polyxenes,0.26,254.28,FCM,Complete
Diptera,Drosophilidae,Drosophila,kanekoi,Drosophila kanekoi,0.26,254.4,,Complete
Diptera,Drosophilidae,Drosophila,kohkoa,Drosophila kohkoa,0.26,255.6,,Complete
Diptera,Drosophilidae,Drosophila,kanekoi,Drosophila kanekoi,0.26,256.4,,Complete
Diptera,Drosophilidae,Scaptodrosophila,pattersoni,Scaptodrosophila pattersoni,0.26,256.9,,Complete
Diptera,Drosophilidae,Scaptodrosophila,lebanonensis,Scaptodrosophila lebanonensis,0.26,257.2,,Complete
Diptera,Drosophilidae,Drosophila,borealis,Drosophila borealis,0.26,257.8,,Complete
Diptera,Drosophilidae,Drosophila,flavomontana,Drosophila flavomontana,0.27,259.3,,Complete
Diptera,Drosophilidae,Drosophila,flavomontana,Drosophila flavomontana,0.27,259.5,,Complete
Diptera,Drosophilidae,Drosophila,littoralis,Drosophila littoralis,0.27,260.1,,Complete
Diptera,Drosophilidae,Drosophila,borealis,Drosophila borealis,0.27,261.5,,Complete
Diptera,Drosophilidae,Chymomyza,procnemis,Chymomyza procnemis,0.27,262.4,,Complete
Diptera,Drosophilidae,Drosophila,immigrans,Drosophila immigrans,0.27,262.9,,Complete
Coleoptera,Carabidae,Carabus,yamato,Carabus yamato,0.27,264.06,FCM,Complete
Coleoptera,Dermestidae,Trogoderma,sp.,Trogoderma sp.,0.27,264.06,FCM,Complete
Coleoptera,Tenebrionidae,Hegeter,brevicollis,Hegeter brevicollis,0.27,264.06,FD,Complete
Coleoptera,Tenebrionidae,Hegeter,grancanariensis,Hegeter grancanariensis,0.27,264.06,FD,Complete
Coleoptera,Tenebrionidae,Hegeter,tristis,Hegeter tristis,0.27,264.06,FD,Complete
Diptera,Culicidae,Anopheles,gambiae,Anopheles gambiae,0.27,264.06,BCA,Complete
Diptera,Drosophilidae,Chymomyza,pararufithorax,Chymomyza pararufithorax,0.27,264.06,FCM,Complete
Diptera,Drosophilidae,Chymomyza,procnemis,Chymomyza procnemis,0.27,264.06,FCM,Complete
Diptera,Drosophilidae,Drosophila,fuyamai,Drosophila fuyamai,0.27,264.06,FCM,Complete
Diptera,Drosophilidae,Drosophila,lucipennis,Drosophila lucipennis,0.27,264.06,FCM,Complete
Diptera,Drosophilidae,Drosophila,orena,Drosophila orena,0.27,264.06,FCM,Complete
Diptera,Drosophilidae,Samoaia,leonensis,Samoaia leonensis,0.27,264.06,FCM,Complete
Diptera,Sepsidae,Dicranosepsis,sp.,Dicranosepsis sp.,0.27,264.06,FCM,Complete
Diptera,Sepsidae,Sepsis,biflexuosa,Sepsis biflexuosa,0.27,264.06,FCM,Complete
Diptera,Sepsidae,Sepsis,flavimana,Sepsis flavimana,0.27,264.06,FCM,Complete
Diptera,Sepsidae,Sepsis,latiforceps,Sepsis latiforceps,0.27,264.06,FCM,Complete
Diptera,Sepsidae,Sepsis,punctum,Sepsis punctum,0.27,264.06,FCM,Complete
Hymenoptera,Apidae,Apis,mellifera,Apis mellifera,0.27,264.06,FCM,Complete
Hymenoptera,Apidae,Melipona,quadrifasciata,Melipona quadrifasciata,0.27,264.06,FCM,Complete
Hymenoptera,Apidae,Melipona,subnitida,Melipona subnitida,0.27,264.06,FCM,Complete
Hymenoptera,Formicidae,Atta,texana,Atta texana,0.27,264.06,FCM,Complete
Hymenoptera,Formicidae,Eciton,burchelli,Eciton burchelli,0.27,264.06,FCM,Complete
Hymenoptera,Formicidae,Lasius,(Acanthomyops),Lasius (Acanthomyops),0.27,264.06,FCM,Complete
Hymenoptera,Formicidae,Pogonomyrmex,badius,Pogonomyrmex badius,0.27,264.06,FCM,Complete
Hymenoptera,Formicidae,Tetramorium,caespitum,Tetramorium caespitum,0.27,264.06,FCM,Complete
Hymenoptera,Ichneumonidae,Neotheronia,bicincta,Neotheronia bicincta,0.27,264.06,FIA,Complete
Diptera,Drosophilidae,Drosophila,immigrans,Drosophila immigrans,0.27,265.2,,Complete
Diptera,Drosophilidae,Drosophila,kohkoa,Drosophila kohkoa,0.28,271.9,,Complete
Coleoptera,Tenebrionidae,Alphitobius,diaperinus,Alphitobius diaperinus,0.28,273.84,FD,Complete
Coleoptera,Tenebrionidae,Hegeter,politus,Hegeter politus,0.28,273.84,FD,Complete
Coleoptera,Tenebrionidae,Micrositus,semicostatus,Micrositus semicostatus,0.28,273.84,FD,Complete
Coleoptera,Tenebrionidae,Pachychila,sublunata,Pachychila sublunata,0.28,273.84,FD,Complete
Coleoptera,Tenebrionidae,Pimelia,sparsa,Pimelia sparsa,0.28,273.84,FD,Complete
Diptera,Drosophilidae,Drosophila,americana,Drosophila americana,0.28,273.84,FCM,Complete
Diptera,Drosophilidae,Drosophila,baimaii,Drosophila baimaii,0.28,273.84,FCM,Complete
Diptera,Drosophilidae,Drosophila,orena,Drosophila orena,0.28,273.84,FCM,Complete
Diptera,Drosophilidae,Drosophila,silvarentis,Drosophila silvarentis,0.28,273.84,FCM,Complete
